ncbiTaxID	Name	Strain	Temp
216934	Spiroplasma corruscae	nan	32
216936	Spiroplasma diminutum	nan	32
216938	Spiroplasma helicoides	nan	32
216942	Spiroplasma litorale	nan	32
216945	Spiroplasma syrphidicola	nan	32
920	Acidithiobacillus ferrooxidans	nan	32,5
28108	Alteromonas macleodii	nan	32,5
292	Burkholderia cepacia	nan	32,5
28095	Burkholderia gladioli	nan	32,5
337	Burkholderia glumae	nan	32,5
536	Chromobacterium violaceum	nan	32,5
191495	Conexibacter woesei	nan	32,5
899	Desulfomicrobium baculatum	nan	32,5
53358	Intrasporangium calvum	nan	32,5
421	Methylomonas methanica	nan	32,5
-1	Mycobacterium abscessus	nan	32,5
2014	Nocardiopsis dassonvillei	nan	32,5
1464	Paenibacillus larvae	nan	32,5
530584	Prauserella marina	nan	32,5
1061	Rhodobacter capsulatus	nan	32,5
1085	Rhodospirillum rubrum	nan	32,5
35806	Rhodovulum sulfidophilum	nan	32,5
24	Shewanella putrefaciens	nan	32,5
1284	Staphylococcus hyicus	nan	32,5
1286	Staphylococcus simulans	nan	32,5
33903	Streptomyces avermitilis	nan	32,5
51669	Tetragenococcus halophilus	nan	32,5
926	Thiomonas intermedia	nan	32,5
-1	Desulfovibrio africanus	nan	33
876	Desulfovibrio desulfuricans	nan	33
-1	Desulfovibrio salexigens	nan	33
881	Desulfovibrio vulgaris	nan	33
29543	Pelobacter propionicus	nan	33
35788	Rickettsia africae	nan	33
787	Rickettsia australis	nan	33
781	Rickettsia conorii	nan	33
35790	Rickettsia japonica	nan	33
33991	Rickettsia montanensis	nan	33
35792	Rickettsia parkeri	nan	33
783	Rickettsia rickettsii	nan	33
35794	Rickettsia slovaca	nan	33
286802	Segniliparus rotundus	nan	33
44674	Sulfurospirillum barnesii	nan	33
-1	[Clostridium] cellulolyticum	nan	33,5
905	Acidaminococcus fermentans	nan	33,5
524	Acidiphilium cryptum	nan	33,5
-1	Actinomyces meyeri	nan	33,5
83263	Aminobacter aminovorans	nan	33,5
47678	Bacteroides caccae	nan	33,5
57975	Burkholderia thailandensis	nan	33,5
1491	Clostridium botulinum	nan	33,5
1492	Clostridium butyricum	nan	33,5
1548	Clostridium scatologenes	nan	33,5
1519	Clostridium tyrobutyricum	nan	33,5
1717	Corynebacterium diphtheriae	nan	33,5
575200	Corynebacterium maris	nan	33,5
39950	Dialister pneumosintes	nan	33,5
1648	Erysipelothrix rhusiopathiae	nan	33,5
81032	Hyphomonas neptunium	nan	33,5
180	Leptospirillum ferrooxidans	nan	33,5
1642	Listeria innocua	nan	33,5
1638	Listeria ivanovii	nan	33,5
1639	Listeria monocytogenes	nan	33,5
1640	Listeria seeligeri	nan	33,5
1643	Listeria welshimeri	nan	33,5
44251	Paenibacillus durus	nan	33,5
172713	Paenibacillus kribbensis	nan	33,5
162209	Paenibacillus naphthalenovorans	nan	33,5
266	Paracoccus denitrificans	nan	33,5
839	Prevotella ruminicola	nan	33,5
361575	Pseudarthrobacter phenanthrenivorans	nan	33,5
43675	Rothia mucilaginosa	nan	33,5
47917	Serratia fonticola	nan	33,5
614	Serratia liquefaciens	nan	33,5
615	Serratia marcescens	nan	33,5
28151	Serratia proteamaculans	nan	33,5
61652	Serratia rubidaea	nan	33,5
46355	Spirochaeta africana	nan	33,5
1280	Staphylococcus aureus	nan	33,5
1282	Staphylococcus epidermidis	nan	33,5
96773	Thauera chlorobenzoica	nan	33,5
29466	Veillonella parvula	nan	33,5
292566	Dactylococcopsis salina	nan	34
480	Moraxella catarrhalis	nan	34
29433	Moraxella ovis	nan	34
83552	Parachlamydia acanthamoebae	nan	34,5
2137	Spiroplasma apis	nan	34,5
1449	Amphibacillus xylanus	nan	35
1390	Bacillus amyloliquefaciens	nan	35
85701	Bartonella tribocorum	nan	35
1534	Clostridium kluyveri	nan	35
1509	Clostridium sporogenes	nan	35
152794	Corynebacterium efficiens	nan	35
897	Desulfococcus multivorans	nan	35
69966	Macrococcus caseolyticus	nan	35
33970	Melissococcus plutonius	nan	35
-1	Mycobacterium smegmatis	nan	35
495	Neisseria elongata	nan	35
37329	Nocardia farcinica	nan	35
37330	Nocardia nova	nan	35
-1	Pelobacter carbinolicus	nan	35
300	Pseudomonas mendocina	nan	35
-1	Pseudomonas stutzeri	nan	35
782	Rickettsia prowazekii	nan	35
785	Rickettsia typhi	nan	35
76731	Roseateles depolymerans	nan	35
257708	Roseomonas gilardii	nan	35
29388	Staphylococcus capitis	nan	35
1283	Staphylococcus haemolyticus	nan	35
28035	Staphylococcus lugdunensis	nan	35
1292	Staphylococcus warneri	nan	35
316277	Syntrophus aciditrophicus	nan	35
63186	Zobellia galactanivorans	nan	35
1684	Bifidobacterium asteroides	nan	35,5
485	Neisseria gonorrhoeae	nan	35,5
486	Neisseria lactamica	nan	35,5
730	[Haemophilus] ducreyi	nan	36
-1	[Haemophilus] parasuis	nan	36
544580	Actinomyces oris	nan	36
111015	Actinomyces radicidentis	nan	36
56426	Bartonella clarridgeiae	nan	36
33045	Bartonella grahamii	nan	36
38323	Bartonella henselae	nan	36
803	Bartonella quintana	nan	36
33047	Bartonella vinsonii	nan	36
521	Bordetella avium	nan	36
518	Bordetella bronchiseptica	nan	36
103855	Bordetella hinzii	nan	36
35814	Bordetella holmesii	nan	36
519	Bordetella parapertussis	nan	36
520	Bordetella pertussis	nan	36
123899	Bordetella trematum	nan	36
197	Campylobacter jejuni	nan	36
28188	Capnocytophaga canimorsus	nan	36
45243	Capnocytophaga haemolytica	nan	36
1018	Capnocytophaga ochracea	nan	36
29341	Clostridium argentinense	nan	36
38289	Corynebacterium jeikeium	nan	36
-1	Desulfotomaculum gibsoniae	nan	36
37734	Enterococcus casseliflavus	nan	36
53345	Enterococcus durans	nan	36
1351	Enterococcus faecalis	nan	36
1352	Enterococcus faecium	nan	36
1353	Enterococcus gallinarum	nan	36
1354	Enterococcus hirae	nan	36
53346	Enterococcus mundtii	nan	36
851	Fusobacterium nucleatum	nan	36
2702	Gardnerella vaginalis	nan	36
727	Haemophilus influenzae	nan	36
729	Haemophilus parainfluenzae	nan	36
29546	Lawsonia intracellularis	nan	36
446	Legionella pneumophila	nan	36
40542	Leptotrichia buccalis	nan	36
266009	Methylovorus glucosotrophus	nan	36
2051	Mobiluncus curtisii	nan	36
582	Morganella morganii	nan	36
37326	Nocardia brasiliensis	nan	36
28251	Ornithobacterium rhinotracheale	nan	36
-1	Pseudopropionibacterium propionicum	nan	36
2047	Rothia dentocariosa	nan	36
34105	Streptobacillus moniliformis	nan	36
1348	Streptococcus parauberis	nan	36
863	Syntrophomonas wolfei	nan	36
29575	Taylorella equigenitalis	nan	36
134821	Ureaplasma parvum	nan	36
666	Vibrio cholerae	nan	36
1747	Cutibacterium acnes	nan	36,5
487	Neisseria meningitidis	nan	36,5
2130	Ureaplasma urealyticum	nan	36,5
-1	[Clostridium] saccharolyticum	nan	37
-1	[Eubacterium] eligens	nan	37
39491	[Eubacterium] rectale	nan	37
143393	[Eubacterium] sulci	nan	37
2148	Acholeplasma laidlawii	nan	37
718	Actinobacillus equuli	nan	37
715	Actinobacillus pleuropneumoniae	nan	37
67854	Actinobacillus succinogenes	nan	37
716	Actinobacillus suis	nan	37
239935	Akkermansia muciniphila	nan	37
214856	Alistipes finegoldii	nan	37
81468	Aminobacterium colombiense	nan	37
28264	Arcanobacterium haemolyticum	nan	37
-1	Atopobium parvulum	nan	37
146939	Azospira oryzae	nan	37
192	Azospirillum brasilense	nan	37
193	Azospirillum lipoferum	nan	37
1392	Bacillus anthracis	nan	37
1396	Bacillus cereus	nan	37
1428	Bacillus thuringiensis	nan	37
-1	Bacteroides dorei	nan	37
817	Bacteroides fragilis	nan	37
290053	Bacteroides helcogenes	nan	37
28116	Bacteroides ovatus	nan	37
818	Bacteroides thetaiotaomicron	nan	37
-1	Bacteroides vulgatus	nan	37
397865	Barnesiella viscericola	nan	37
235	Brucella abortus	nan	37
36855	Brucella canis	nan	37
29459	Brucella melitensis	nan	37
236	Brucella ovis	nan	37
29461	Brucella suis	nan	37
13373	Burkholderia mallei	nan	37
28450	Burkholderia pseudomallei	nan	37
76517	Campylobacter hominis	nan	37
206	Campylobacter sputorum	nan	37
83555	Chlamydia abortus	nan	37
83556	Chlamydia felis	nan	37
83560	Chlamydia muridarum	nan	37
85991	Chlamydia pecorum	nan	37
83558	Chlamydia pneumoniae	nan	37
83559	Chlamydia suis	nan	37
813	Chlamydia trachomatis	nan	37
158080	Chromohalobacter salexigens	nan	37
35703	Citrobacter amalonaticus	nan	37
57706	Citrobacter braakii	nan	37
67824	Citrobacter farmeri	nan	37
546	Citrobacter freundii	nan	37
545	Citrobacter koseri	nan	37
67825	Citrobacter rodentium	nan	37
1520	Clostridium beijerinckii	nan	37
1493	Clostridium cellulovorans	nan	37
46867	Clostridium chauvoei	nan	37
1497	Clostridium formicaceticum	nan	37
1538	Clostridium ljungdahlii	nan	37
1501	Clostridium pasteurianum	nan	37
1513	Clostridium tetani	nan	37
203263	Corynebacterium aquilae	nan	37
191610	Corynebacterium atypicum	nan	37
161895	Corynebacterium phocae	nan	37
1719	Corynebacterium pseudotuberculosis	nan	37
258224	Corynebacterium resistens	nan	37
146827	Corynebacterium simulans	nan	37
161899	Corynebacterium singulare	nan	37
191493	Corynebacterium sphenisci	nan	37
43770	Corynebacterium striatum	nan	37
43771	Corynebacterium urealyticum	nan	37
401472	Corynebacterium ureicelerivorans	nan	37
453230	Desulfarculus baarsii	nan	37
49338	Desulfitobacterium hafniense	nan	37
60893	Desulfobacca acetoxidans	nan	37
2358	Desulfomonile tiedjei	nan	37
1563	Desulfosporosinus orientis	nan	37
-1	Desulfotomaculum acetoxidans	nan	37
-1	Desulfotomaculum reducens	nan	37
-1	Desulfotomaculum ruminis	nan	37
901	Desulfovibrio piger	nan	37
93378	Edwardsiella hoshinae	nan	37
636	Edwardsiella tarda	nan	37
562	Escherichia coli	nan	37
564	Escherichia fergusonii	nan	37
1736	Eubacterium limosum	nan	37
833	Fibrobacter succinogenes	nan	37
143361	Filifactor alocis	nan	37
312277	Flavobacterium indicum	nan	37
263	Francisella tularensis	nan	37
2331	Halanaerobium praevalens	nan	37
37372	Helicobacter bilis	nan	37
213	Helicobacter cinaedi	nan	37
214	Helicobacter felis	nan	37
32025	Helicobacter hepaticus	nan	37
217	Helicobacter mustelae	nan	37
210	Helicobacter pylori	nan	37
76936	Helicobacter typhlonius	nan	37
43357	Kutzneria albida	nan	37
-1	Lactobacillus mucosae	nan	37
1270	Micrococcus luteus	nan	37
-1	Mycobacterium africanum	nan	37
-1	Mycobacterium bovis	nan	37
-1	Mycobacterium fortuitum	nan	37
1767	Mycobacterium intracellulare	nan	37
1768	Mycobacterium kansasii	nan	37
1769	Mycobacterium leprae	nan	37
1773	Mycobacterium tuberculosis	nan	37
-1	Mycoplasma agalactiae	nan	37
-1	Mycoplasma arginini	nan	37
-1	Mycoplasma arthritidis	nan	37
-1	Mycoplasma bovis	nan	37
-1	Mycoplasma bovoculi	nan	37
-1	Mycoplasma californicum	nan	37
-1	Mycoplasma canadense	nan	37
-1	Mycoplasma canis	nan	37
2095	Mycoplasma capricolum	nan	37
-1	Mycoplasma cynos	nan	37
-1	Mycoplasma dispar	nan	37
-1	Mycoplasma fermentans	nan	37
-1	Mycoplasma flocculare	nan	37
-1	Mycoplasma gallisepticum	nan	37
-1	Mycoplasma genitalium	nan	37
-1	Mycoplasma hominis	nan	37
-1	Mycoplasma hyopneumoniae	nan	37
-1	Mycoplasma hyorhinis	nan	37
2105	Mycoplasma leachii	nan	37
2102	Mycoplasma mycoides	nan	37
-1	Mycoplasma penetrans	nan	37
-1	Mycoplasma pneumoniae	nan	37
-1	Mycoplasma pullorum	nan	37
-1	Mycoplasma pulmonis	nan	37
2123	Mycoplasma putrefaciens	nan	37
-1	Mycoplasma synoviae	nan	37
51365	Mycoplasma yeatsii	nan	37
33033	Parvimonas micra	nan	37
703	Plesiomonas shigelloides	nan	37
28123	Porphyromonas asaccharolytica	nan	37
837	Porphyromonas gingivalis	nan	37
584	Proteus mirabilis	nan	37
585	Proteus vulgaris	nan	37
587	Providencia rettgeri	nan	37
588	Providencia stuartii	nan	37
34085	Riemerella anatipestifer	nan	37
301301	Roseburia hominis	nan	37
54736	Salmonella bongori	nan	37
28901	Salmonella enterica	nan	37
622	Shigella dysenteriae	nan	37
624	Shigella sonnei	nan	37
216935	Spiroplasma culicicola	nan	37
2144	Spiroplasma mirum	nan	37
155085	Staphylococcus lutrae	nan	37
1311	Streptococcus agalactiae	nan	37
1328	Streptococcus anginosus	nan	37
76860	Streptococcus constellatus	nan	37
45634	Streptococcus cristatus	nan	37
1334	Streptococcus dysgalactiae	nan	37
1336	Streptococcus equi	nan	37
315405	Streptococcus gallolyticus	nan	37
1302	Streptococcus gordonii	nan	37
102684	Streptococcus infantarius	nan	37
1338	Streptococcus intermedius	nan	37
150055	Streptococcus lutetiensis	nan	37
1303	Streptococcus oralis	nan	37
1318	Streptococcus parasanguinis	nan	37
197614	Streptococcus pasteurianus	nan	37
1313	Streptococcus pneumoniae	nan	37
1314	Streptococcus pyogenes	nan	37
1304	Streptococcus salivarius	nan	37
1305	Streptococcus sanguinis	nan	37
1307	Streptococcus suis	nan	37
1349	Streptococcus uberis	nan	37
119484	Syntrophobacter fumaroxidans	nan	37
28112	Tannerella forsythia	nan	37
160	Treponema pallidum	nan	37
221027	Treponema putidum	nan	37
167	Treponema succinifaciens	nan	37
2039	Tropheryma whipplei	nan	37
844	Wolinella succinogenes	nan	37
1561	Clostridium baratii	nan	37,5
36854	Desulfitobacterium dehalogenans	nan	37,5
84112	Eggerthella lenta	nan	37,5
-1	Mycobacterium goodii	nan	37,5
78258	Parascardovia denticolens	nan	37,5
971	Selenomonas ruminantium	nan	37,5
69823	Selenomonas sputigena	nan	37,5
-1	Staphylococcus sciuri	nan	37,5
1482	Virgibacillus halodenitrificans	nan	37,5
159	Brachyspira hyodysenteriae	nan	38
84377	Brachyspira intermedia	nan	38
84378	Brachyspira murdochii	nan	38
52584	Brachyspira pilosicoli	nan	38
217159	Clostridium carboxidivorans	nan	38
45663	Desulfohalobium retbaense	nan	38,5
1053	Halorhodospira halophila	nan	38,5
907	Megasphaera elsdenii	nan	38,5
28187	Acetohalobium arabaticum	nan	39
1680	Bifidobacterium adolescentis	nan	39
1683	Bifidobacterium angulatum	nan	39
1681	Bifidobacterium bifidum	nan	39
1685	Bifidobacterium breve	nan	39
1686	Bifidobacterium catenulatum	nan	39
1687	Bifidobacterium coryneforme	nan	39
1689	Bifidobacterium dentium	nan	39
1691	Bifidobacterium indicum	nan	39
216816	Bifidobacterium longum	nan	39
28026	Bifidobacterium pseudocatenulatum	nan	39
1694	Bifidobacterium pseudolongum	nan	39
158787	Bifidobacterium scardovii	nan	39
33905	Bifidobacterium thermophilum	nan	39
42253	Nitrospira moscoviensis	nan	39
747	Pasteurella multocida	nan	39
1764	Mycobacterium avium	nan	39,5
1264	Ruminococcus albus	nan	39,5
28025	Bifidobacterium animalis	nan	40
29360	Cellulosilyticum lentocellum	nan	40
42422	Halobacteroides halobius	nan	40
1254	Pediococcus acidilactici	nan	40
146919	Salinibacter ruber	nan	40
84110	Slackia heliotrinireducens	nan	40
78259	Scardovia inopinata	nan	40,25
405	Methylobacillus flagellatus	nan	42
1852	Saccharomonospora viridis	nan	42,5
2021	Thermobifida fusca	nan	44
33059	Acidithiobacillus caldus	nan	45
1542	Clostridium novyi	nan	45
1502	Clostridium perfringens	nan	45
128	Isosphaera pallida	nan	45
414	Methylococcus capsulatus	nan	45
83683	Lactobacillus amylolyticus	nan	46,5
68909	Deinococcus geothermalis	nan	47
42256	Rubrobacter radiotolerans	nan	47
1097	Chlorobaculum tepidum	nan	47,5
2352	Flexistipes sinusarabici	nan	47,5
53635	Acidimicrobium ferrooxidans	nan	48
-1	Bacillus coagulans	nan	48,5
252966	Mahella australiensis	nan	50
-1	Heliobacterium modesticaldum	nan	52
184064	Thermodesulfobium narugense	nan	52,5
33002	Desulfurella acetivorans	nan	53,5
84405	Hippea maritima	nan	53,5
1471	Bacillus methanolicus	nan	55
152260	Chloroflexus aggregans	nan	55
1565	Desulfotomaculum nigrificans	nan	55
-1	Meiothermus silvanus	nan	55
86170	Syntrophothermus lipocalidus	nan	55
81462	Thermanaerovibrio acidaminovorans	nan	55
1108	Chloroflexus aurantiacus	nan	56
129338	Geobacillus subterraneus	nan	56,5
29343	[Clostridium] cellulosi	nan	57,5
28049	Acidothermus cellulolyticus	nan	57,5
198467	Anoxybacillus gonensis	nan	57,5
169283	Geobacillus lituanicus	nan	57,5
33940	Geobacillus thermodenitrificans	nan	57,5
583357	Thermoanaerobacter mathranii	nan	57,5
2006	Thermobispora bispora	nan	57,5
1525	Moorella thermoacetica	nan	58
85874	Thermacetogenium phaeum	nan	58
1517	Thermoanaerobacterium thermosaccharolyticum	nan	58,5
33934	Anoxybacillus flavithermus	nan	60
197162	Deferribacter desulfuricans	nan	60
33941	Geobacillus thermoleovorans	nan	60
31909	Halothermothrix orenii	nan	60
277	Meiothermus ruber	nan	60
49319	Rubrobacter xylanophilus	nan	60
2734	Symbiobacterium thermophilum	nan	60
29329	Thermoanaerobacterium xylanolyticum	nan	60
294699	Anoxybacillus amylolyticus	nan	61
-1	[Clostridium] stercorarium	nan	62,5
405212	Alicyclobacillus acidocaldarius	nan	62,5
1462	Geobacillus kaustophilus	nan	62,5
29323	Thermoanaerobacter brockii	nan	62,5
35786	Coprothermobacter proteolyticus	nan	63
911092	Caldanaerobacter subterraneus	nan	65
2423	Fervidobacterium islandicum	nan	65
496866	Thermoanaerobacter pseudethanolicus	nan	65
28262	Thermodesulfovibrio yellowstonii	nan	65
38322	Pseudothermotoga elfii	nan	66
2325	Thermoanaerobacter kivui	nan	66
46354	Thermoanaerobacter wiegelii	nan	66,5
154	Spirochaeta thermophila	nan	67
456163	Thermus parvatiensis	nan	67,5
-1	Caldicellulosiruptor lactoaceticus	nan	68
291990	Thermosediminibacter oceani	nan	68
42838	Ammonifex degensii	nan	70
44001	Caldicellulosiruptor saccharolyticus	nan	70
64160	Desulfurobacterium thermolithotrophum	nan	70
2424	Fervidobacterium nodosum	nan	70
93466	Fervidobacterium pennivorans	nan	70
33938	Geobacillus thermocatenulatus	nan	70
57487	Pseudothermotoga hypogea	nan	70
73919	Thermaerobacter marianensis	nan	70
108150	Thermoanaerobacter italicus	nan	70
1741	Thermodesulfobacterium commune	nan	70
46541	Thermosipho melanesiensis	nan	70
271	Thermus aquaticus	nan	70
56956	Thermus brockianus	nan	70
56957	Thermus oshimai	nan	70
37636	Thermus scotoductus	nan	70
129958	Carboxydothermus hydrogenoformans	nan	71
513050	Dictyoglomus turgidum	nan	72
940	Hydrogenobacter thermophilus	nan	72,5
29549	Rhodothermus marinus	nan	72,5
500	Thermomicrobium roseum	nan	72,5
55205	Caldicellulosiruptor owensensis	nan	75
119394	Pseudothermotoga thermarum	nan	75
2421	Thermosipho africanus	nan	75
14	Dictyoglomus thermophilum	nan	75,5
-1	Caldicellulosiruptor kristjanssonii	nan	78
75906	Thermocrinis ruber	nan	80
2336	Thermotoga maritima	nan	80
2337	Thermotoga neapolitana	nan	80
63363	Aquifex aeolicus	nan	85
