Model	Resampling	bin	RMSE
XGBoost	SMOTER	<22	8.8
XGBoost	GN	<22	9.0
XGBoost	RUS	<22	8.4
XGBoost	Unbalanced	<22	10.1
XGBoost	SMOTER	22-32	3.7
XGBoost	GN	22-32	3.7
XGBoost	RUS	22-32	5.2
XGBoost	Unbalanced	22-32	3.3
XGBoost	SMOTER	32-45	5.1
XGBoost	GN	32-45	5.2
XGBoost	RUS	32-45	6.4
XGBoost	Unbalanced	32-45	3.7
XGBoost	SMOTER	45-60	7.9
XGBoost	GN	45-60	8.3
XGBoost	RUS	45-60	8.0
XGBoost	Unbalanced	45-60	7.5
XGBoost	SMOTER	>60	7.7
XGBoost	GN	>60	9.3
XGBoost	RUS	>60	8.6
XGBoost	Unbalanced	>60	8.7
RF	SMOTER	<22	9.6
RF	GN	<22	8.9
RF	RUS	<22	9.7
RF	Unbalanced	<22	11.1
RF	SMOTER	22-32	3.6
RF	GN	22-32	4.5
RF	RUS	22-32	4.9
RF	Unbalanced	22-32	3.2
RF	SMOTER	32-45	5.4
RF	GN	32-45	5.9
RF	RUS	32-45	6.7
RF	Unbalanced	32-45	4.2
RF	SMOTER	45-60	9.2
RF	GN	45-60	7.9
RF	RUS	45-60	7.1
RF	Unbalanced	45-60	9.8
RF	SMOTER	>60	9.3
RF	GN	>60	8.2
RF	RUS	>60	7.2
RF	Unbalanced	>60	9.6
SVR	SMOTER	<22	9.7
SVR	GN	<22	9.6
SVR	RUS	<22	10.2
SVR	Unbalanced	<22	8.8
SVR	SMOTER	22-32	4.6
SVR	GN	22-32	5.0
SVR	RUS	22-32	4.9
SVR	Unbalanced	22-32	3.1
SVR	SMOTER	32-45	5.7
SVR	GN	32-45	6.9
SVR	RUS	32-45	6.7
SVR	Unbalanced	32-45	3.7
SVR	SMOTER	45-60	7.8
SVR	GN	45-60	7.0
SVR	RUS	45-60	7.1
SVR	Unbalanced	45-60	6.9
SVR	SMOTER	>60	6.9
SVR	GN	>60	7.0
SVR	RUS	>60	7.2
SVR	Unbalanced	>60	7.2