Length (>=)	Absolute Count
0	335981
100	305601
200	225293
300	149087
400	86528
500	45490
600	27181
700	15971
800	11097
900	6715
1000	3854
1100	2861
1200	2130
1300	1554
1400	851
1500	334
1600	253
1700	211
1800	180
1900	153
2000	138
2100	132
2200	115
2300	104
2400	92
2500	91
2600	85
2700	81
2800	80
2900	69
3000	67
3100	65
3200	62
3300	57
3400	55
3500	52
3600	46
3700	41
3800	40
3900	37
4000	34
4100	33
4200	32
4300	31
4400	31
4500	29
4600	27
4700	26
4800	25
4900	25
5000	25
5100	23
5200	22
5300	20
5400	19
5500	18
5600	18
5700	17
5800	17
5900	17
6000	17
6100	17
6200	17
6300	17
6400	16
6500	15
6600	15
6700	15
6800	12
6900	12
7000	12
7100	11
7200	11
7300	11
7400	11
7500	11
7600	11
7700	11
7800	10
7900	10
8000	10
8100	10
8200	10
8300	10
8400	10
8500	10
8600	10
8700	10
8800	10
8900	10
9000	10
9100	10
9200	10
9300	10
9400	10
9500	8
9600	7
9700	7
9800	7
9900	7
10000	6
10100	6
10200	6
10300	6
10400	6
10500	3
10600	3
10700	1
10600	0